Model;Scenario;Region;Variable;Unit;1970;1975;1980;1985;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070
IMAGE-GNMoct2020;SSP4_oct2020;2;pload;Not specified;830099859.212;894791928.495;861655615.702;951609292.932;1066230158.3;1105489965.17;1220680891.93;1346459216.45;1507955635.08;1683462732.04;1736797359.36;1795040537.11;2015582353.6;2076419946.82;2012265309.75;1762891241.8;1742860029.49;1719703751.87;1796948810.2;1725174311.75;1670279965.36
IMAGE-GNMoct2020;SSP4_oct2020;3;pload;Not specified;1055681005.26;1067532751.76;1092138316.57;1016333372.17;914635335.206;909372269.674;820536249.617;791996668.61;824512000.422;709401510.236;723266715.489;642406456.525;667407912.979;766889623.784;659541301.888;678236282.04;597843266.639;604875135.522;692755366.714;572513910.664;657078425.556
IMAGE-GNMoct2020;SSP4_oct2020;1;sro_nat;Not specified;103912165.794;104207428.611;98399669.0667;93583544.2726;93120250.4936;92719301.9823;90409582.6126;87743802.0945;90481769.1067;90789729.0006;90720640.3321;86714582.7222;82983610.7988;85628963.9411;84497424.8356;82777497.8459;78222206.4849;77906854.8607;79998085.4086;77268048.0578;79140223.9401
IMAGE-GNMoct2020;SSP4_oct2020;2;sro_nat;Not specified;106236256.1;107146044.927;99928808.1791;100000317.603;99098524.7282;95085007.2217;101976609.629;97827887.912;100547679.371;98722778.0694;95830886.2614;101156469.368;97755036.3495;101576318.955;97350557.1352;93681370.3096;98577295.2588;94192712.9944;98776427.5788;94589896.6535;93807650.7521
IMAGE-GNMoct2020;SSP4_oct2020;3;sro_nat;Not specified;62331639.8038;68679621.1776;68640939.7297;68149036.1688;66858304.1154;69063049.9246;67532070.1743;72793761.9574;72258880.27;68779749.9881;69892510.5483;66202345.5638;69574521.246;70577191.6236;67420082.4958;68740758.0756;65948368.9504;68680781.9367;69015028.4166;63452241.9183;64813390.2612
IMAGE-GNMoct2020;SSP4_oct2020;1;sro_agri;Not specified;703052126.552;848120670.849;929737168.39;886933769.926;931412500.935;960624046.65;912566320.925;947356607.039;1011721710.45;1041933473.26;1135362228.09;1085375466.17;1161137802.31;1260270220.82;1278986331.73;1308216054.22;1195869652.69;1296161411.86;1405682779.02;1359509067.22;1429572918.07
IMAGE-GNMoct2020;SSP4_oct2020;2;sro_agri;Not specified;367157693.933;375729392.762;402015445.572;475837433.008;534090168.48;551739956.336;553836183.081;597929003.866;642136393.9;700827648.97;681536118.568;665723032.318;741314732.617;782612951.505;759757091.212;663302083.631;644882563.994;656932072.494;688916789.98;694134166.249;690072125.58
IMAGE-GNMoct2020;SSP4_oct2020;3;sro_agri;Not specified;503987229.561;502607064.319;534987609.075;507026495.955;437184577.08;451941961.745;406098506.871;406127500.854;444868351.526;364474946.139;373151958.214;330726514.143;365168679.6;436056553.924;365266366.939;390389556.039;338490656.181;345094704.941;409675497.134;323198379.505;401164709.245
IMAGE-GNMoct2020;SSP4_oct2020;1;weathering;Not specified;426540120.542;437489676.433;383514870.039;385769574.57;384892421.428;371760096.267;377144326.62;340292350.927;424139165.181;454162025.749;429722957.297;425243463.121;406288351.955;513320533.827;502184532.828;448800844.539;425377651.64;391315789.658;509613363.49;501091150.462;478750245.61
IMAGE-GNMoct2020;SSP4_oct2020;2;weathering;Not specified;137017650.53;157631970.948;120419486.451;119666036.997;129293828.656;118596819.2;143856929.113;130463981.872;132887677.199;150682421.458;146436585.225;174031392.29;264464081.602;248037617.113;234450663.451;173616582.47;179129944.501;177326943.766;227987305.6;204292242.529;217362824.114
