"","Model","Scenario","Year","CO2_LUC","delta_Cropland","delta_Pasture","Carbon_price","C_price_cat"
"2188","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_ HighRE_Budg900",2030,453.5651,4.64940000000001,-2.02759999999998,194.9791,"Yes"
"2197","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2035,5494.5743,14.16948,-0.457799999999952,0,"No"
"2198","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2040,5768.8405,17.18922,-2.66662000000006,0,"No"
"2199","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2045,5729.114,8.30555999999997,0.0993800000000192,0,"No"
"2200","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Base",2050,5724.695,11.59204,-0.419899999999961,0,"No"
"2204","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2030,5145.801,8.76705999999999,2.38396000000002,1.4084,"Yes"
"2205","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2035,5929.803,14.6331,0.179979999999978,1.7451,"Yes"
"2206","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2040,6300.0348,16.88078,-1.56953999999996,2.1497,"Yes"
"2207","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2045,6161.8376,9.89246000000003,0.261119999999937,2.6016,"Yes"
"2208","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_Npi",2050,5830.633,12.17652,0.341160000000036,3.134,"Yes"
"2219","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg1300",2025,1793.3462,5.77806000000001,1.21971999999996,31.6669,"Yes"
"2228","REMIND-MAgPIE 2.1-4.3","DeepElec_SSP2_def_Budg900",2030,829.4777,8.60889999999999,-5.00660000000007,159.2815,"Yes"
