"","Study","ScenYear","Model","Scope","Scenario..author.code.","Cropland.scope","Initial_condition","Delta_initial","Cropland","Rum_meat_crop_feed_water","Dairy_crop_feed_water","Mon_feed_water","Plant_food_water","Yield","rstand"
"588","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-BAU+rumi (0.7+G+FAO+BAU+rumi)","Agriculture",1341.34687562195,-177.65312437805,0.291859889630838,4.88760398458447,3.56060406937877,-1,0.719453346702561,0.411985018726592,0.969607115925759
"598","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-MEAT+bau (0.7+G+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,0.0798735532101183,1.47527016968336,3.85104399002227,1.16738323825382,0.340853703311647,0.771535580524345,2.17270233536809
"601","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-MEAT+mono (0.7+G+HY+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,0.201783906416881,-1,-1,4.44480990079633,0.340853703311647,0.539325842696629,0.928187667465284
"604","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-MEAT+mono (0.7+G+Org+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,0.510853300323777,-1,-1,4.44480990079633,0.340853703311647,0.119850187265918,1.10220686067266
"608","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+rumi (0.7+G+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,0.0177365658078539,-1,4.68538982570672,-1,0.544222259855059,0.119850187265918,-2.41064728110186
"609","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-high yield_Diet-VEGET+bau (0.7+G+HY+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.229770295381375,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.539325842696629,-2.02006781010071
"611","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-FAO yield_Diet-VEGET+bau (0.7+G+FAO+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.148293331236316,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.411985018726592,-2.1080453129866
"612","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-organic yields_Diet-VEGET+bau (0.7+G+Org+VEGET+bau)","Agriculture",1341.34687562195,-177.65312437805,0.0713715700545043,-1,3.8969370651435,-0.557077128954005,0.544222259855059,0.119850187265918,-1.93644894587293
"614","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-grain_Crop-yield gap closed_Diet-VEGET+mono (0.7+G+YGC+VEGET+mono)","Agriculture",1341.34687562195,-177.65312437805,0.000121604979924833,-1,-1,2.19432654185349,0.544222259855059,0.771535580524345,1.60216294064837
"618","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-RICH+mono (0.7+R+YGC+RICH+mono)","Agriculture",1341.34687562195,-177.65312437805,0.344007797990703,-1,-1,4.76677875966666,0.799382722110702,0.771535580524345,1.38651839696849
"621","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-BAU+bau (0.7+R+YGC+BAU+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.00517000583397071,-0.0263613398643715,-0.0235143072886688,0.298666484268012,0.719453346702561,0.771535580524345,1.81938020442216
"625","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-BAU+mono (0.7+R+YGC+BAU+mono)","Agriculture",1341.34687562195,-177.65312437805,0.0695442479617552,-1,-1,1.88060858302836,0.719453346702561,0.771535580524345,1.68887490195702
"629","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-MEAT+bau (0.7+R+YGC+MEAT+bau)","Agriculture",1341.34687562195,-177.65312437805,-0.0928417396651681,-0.149750668333117,0.778855916921428,0.611147104452784,0.340853703311647,0.771535580524345,2.42637606252812
"631","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-MEAT+mono (0.7+R+HY+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,0.11496582238382,-1,-1,3.04745665239685,0.340853703311647,0.539325842696629,1.37304610846878
"633","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-MEAT+mono (0.7+R+FAO+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,0.193911415358679,-1,-1,3.04745665239685,0.340853703311647,0.411985018726592,1.25620251101227
"634","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-MEAT+mono (0.7+R+Org+MEAT+mono)","Agriculture",1341.34687562195,-177.65312437805,0.427875734858144,-1,-1,3.04745665239685,0.340853703311647,0.119850187265918,1.59086005349787
"635","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-high yield_Diet-VEGET+rumi (0.7+R+HY+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.357327819698622,-1,1.0848067657735,-1,0.544222259855059,0.539325842696629,-1.88779472902908
"637","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-FAO yield_Diet-VEGET+rumi (0.7+R+FAO+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.279238932421732,-1,1.0848067657735,-1,0.544222259855059,0.411985018726592,-2.01440763569945
"638","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-organic yields_Diet-VEGET+rumi (0.7+R+Org+VEGET+rumi)","Agriculture",1341.34687562195,-177.65312437805,-0.0706907017051436,-1,1.0848067657735,-1,0.544222259855059,0.119850187265918,-1.96957847992315
"644","Theurl et al. (2020)","2050","BioBaM","Agriculture","Feed-rough_Crop-yield gap closed_Diet-VEGET+mono (0.7+R+YGC+VEGET+mono)","Agriculture",1341.34687562195,-177.65312437805,-0.0693074373810828,-1,-1,1.37453620003553,0.544222259855059,0.771535580524345,1.65224301661417
"1005","Weindl et al. (2017a)","2050","MAgPIE 3","Agriculture","SSP2-Catch up+Static WP","Agriculture",1389,-130,0.352490535553469,1.60219677229781,2.26329473518762,0.685414580581262,0.39413928648416,0.40906935,2.187663806849
"1006","Weindl et al. (2017a)","2050","MAgPIE 3","Agriculture","SSP2-Moderation+Static WP","Agriculture",1389,-130,0.288221883531016,1.25048433184112,1.61503079789445,0.789437274182467,0.39413928648416,0.40906935,1.69881988558857
