"","Model","Scenario","Year","CO2_LUC","delta_Pasture","delta_Cropland","delta_Forest_net","Carbon_price","C_price_cat"
"1027","IMAGE 3.2","SSP1_SPA1_19I_LIRE",2040,-5135.05162593714,-22.7748399999999,8.9076,6.82507999999998,101.981378257165,"Yes"
"1028","IMAGE 3.2","SSP1_SPA1_19I_LIRE",2045,-5740.19706798126,-26.9526800000001,2.27260000000001,-2.53047999999994,121.214903072434,"Yes"
"1063","IMAGE 3.2","SSP1_SPA1_26I_LI",2035,-3735.664055091,-24.6587200000001,3.19172000000003,-1.23940000000007,43.5108580068711,"Yes"
"1064","IMAGE 3.2","SSP1_SPA1_26I_LI",2040,-5408.97082338232,-22.78132,2.82779999999998,1.30280000000007,46.9077617944675,"Yes"
"1069","IMAGE 3.2","SSP1_SPA1_26I_LIRE",2035,-3728.24793094514,-24.6713199999999,3.60498000000002,-0.854499999999781,49.7014118318571,"Yes"
"1070","IMAGE 3.2","SSP1_SPA1_26I_LIRE",2040,-5380.57599513967,-22.74632,3.40099999999998,1.72163999999989,47.4193303049725,"Yes"
"1091","IMAGE 3.2","SSP1_SPA1_34I_LI",2035,-3706.12997843738,-24.6657200000001,3.61678000000002,-0.950700000000143,1.74834426391704,"Yes"
"1092","IMAGE 3.2","SSP1_SPA1_34I_LI",2040,-5603.14910661455,-22.78528,1.51068,0.233320000000049,0.847308106641695,"Yes"
"1097","IMAGE 3.2","SSP1_SPA1_34I_LIRE",2035,-3693.19594933388,-24.68988,3.60999999999999,-0.964919999999939,1.20930913470552,"Yes"
"1098","IMAGE 3.2","SSP1_SPA1_34I_LIRE",2040,-5603.4497226405,-22.79484,1.23312000000001,-0.0231600000002352,0,"No"
"1112","IMAGE 3.2","SSP2-baseline",2040,5651.13926978623,4.41592000000001,11.09696,10.01008,0,"No"
"1113","IMAGE 3.2","SSP2-baseline",2045,6238.68288404834,3.88184000000001,8.5846,7.80540000000005,0,"No"
"1114","IMAGE 3.2","SSP2-baseline",2050,6160.69507158178,4.00248000000001,10.662,11.00848,0,"No"
"1129","IMAGE 3.2","SSP2_SPA1_19I_D_LB",2045,-176.197270568335,-12.20564,-5.56271999999999,-4.04787999999999,876,"Yes"
"1145","IMAGE 3.2","SSP2_SPA1_19I_RE_LB",2045,-307.315851279222,-12.21904,-4.71352000000002,-3.26288000000009,876,"Yes"
"1177","IMAGE 3.2","SSP2_SPA2_19I_RE",2045,2163.36197674073,-11.69964,11.14952,12.5912400000001,867.841392697396,"Yes"
"1249","IMAGE 3.2","SSP2_SPA2_45I_D",2045,3817.60899508929,-1.79372000000003,4.74043999999999,1.32783999999997,22,"Yes"
"1250","IMAGE 3.2","SSP2_SPA2_45I_D",2050,3151.59880646905,-1.75172000000002,7.56759999999999,6.25308,26,"Yes"
"1273","IMAGE 3.2","SSP2_SPA2_45I_RE",2045,4863.00201758248,1.92255999999998,5.58607999999999,4.98136,20,"Yes"
"1274","IMAGE 3.2","SSP2_SPA2_45I_RE",2050,4069.34524861216,1.97480000000005,6.28452000000002,6.20340000000001,17,"Yes"
"1275","MESSAGEix-GLOBIOM 1.0","LowEnergyDemand_1.3_IPCC",2015,5862.49986666667,3.48495999999977,1.30066000000002,1.8335999999998,0,"No"
"1276","MESSAGEix-GLOBIOM 1.0","LowEnergyDemand_1.3_IPCC",2020,5470.96916666667,3.48498000000027,1.30056,1.83346000000033,2.50311115730943,"Yes"
"2327","MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450",2025,2542.18817124184,-38.0272122222765,-3.26118449877717,-28.8509969178238,1456.40329279355,"Yes"
"2331","MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450",2045,-2401.60806547393,-19.5894702589324,-0.572486392485189,-8.4552405891759,2261.98288716638,"Yes"
"2332","MESSAGEix-GLOBIOM_1.1","EN_NPi2020_450",2050,-2917.93491722077,-16.1867045885489,-1.74534305263282,-6.32207984349248,2411.9626776805,"Yes"
"2803","REMIND-MAgPIE 1.7-3.0","CD-LINKS_INDC2030i_400",2045,-3454.2143,-31.80188,21.28668,0.00158000000014979,340.2453,"Yes"
"2804","REMIND-MAgPIE 1.7-3.0","CD-LINKS_INDC2030i_400",2050,-5205.5501,-27.9823,23.1205,0.0161599999999469,434.2627,"Yes"
"2924","REMIND-MAgPIE 1.7-3.0","EMF33_1.5C_cost100",2050,4158.6836,-24.93928,24.92614,-0.000179999999954106,346.60791,"Yes"
"3028","REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_nobeccs",2050,2998.4863,-16.36714,16.44998,0.095799999999965,648.15377,"Yes"
"3044","REMIND-MAgPIE 1.7-3.0","EMF33_WB2C_none",2050,821.3562,-6.4616,6.27598000000003,-0.0432999999999538,1105.36338,"Yes"
"3084","REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_NDC",2050,-5625.0278,-31.8392,20.94436,0.00623999999997871,456.4039,"Yes"
"3100","REMIND-MAgPIE 1.7-3.0","PEP_1p5C_full_goodpractice",2050,-4760.6848,-26.1264800000001,18.94778,-0.00136000000006664,406.5959,"Yes"
"3113","REMIND-MAgPIE 1.7-3.0","PEP_1p5C_red_eff",2035,-3327.7735,-18.93298,18.9435,0.0104599999999671,539.4998,"Yes"
"3114","REMIND-MAgPIE 1.7-3.0","PEP_1p5C_red_eff",2040,-4995.8345,-13.7917600000001,13.7917,-6.00000000758882e-05,718.4883,"Yes"
"3115","REMIND-MAgPIE 1.7-3.0","PEP_1p5C_red_eff",2045,-5742.6787,-9.73881999999994,9.73995999999997,0.00394000000005619,917.0005,"Yes"
"3116","REMIND-MAgPIE 1.7-3.0","PEP_1p5C_red_eff",2050,-4785.5628,-7.67121999999999,7.66852000000003,0.0155200000001512,1170.2642,"Yes"
"3226","REMIND-MAgPIE 1.7-3.0","SMP_2C_lifesty",2040,-4097.642,-11.4509999999999,-2.74458,-2.42841999999996,69.2397,"Yes"
"3227","REMIND-MAgPIE 1.7-3.0","SMP_2C_lifesty",2045,-5769.68,-10.78226,-0.198239999999987,-0.221559999999954,88.3695,"Yes"
"3244","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_hybrid_def",2015,3551.8594,-4.20484000000006,7.59414000000002,3.4378799999999,1.8241,"Yes"
"3246","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_hybrid_def",2025,4843.9901,-5.26037999999999,-1.85574000000001,4.93892000000001,57.6426,"Yes"
"3249","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_hybrid_def",2040,-173.3173,-12.64588,1.60382,-3.57550000000001,109.5888,"Yes"
"3251","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_hybrid_def",2050,-2097.7693,-16.9905000000001,0.983219999999983,-1.48336000000008,182.4687,"Yes"
"3252","REMIND-MAgPIE 2.0-4.1","Diff_1300Gt_no-transfer_def",2015,3551.8594,-4.20484000000006,7.59414000000002,3.4378799999999,1.8241,"Yes"
